Management,https://www.thebalancecareers.com/is-management-for-me-2275352
Business and Financial operations,https://collegegrad.com/careers/business-and-financial
Computer and Mathematical,http://www.smcm.edu/mathcs/academic-offerings/after-you-graduate-math/careers/
Architecture and Engineering,https://study.com/articles/Architectural_Engineers_Job_Description_and_Requirements_for_a_Career_in_Architectural_Engineering.html
"Life, Physical and Social Science",https://thebestschools.org/careers/life-physical-social-sciences-careers/
Community and Social Service,https://www.earnmydegree.com/how-to-become/community-social-services
Legal,https://www.learnhowtobecome.org/lawyer/
"Education, training and library",https://collegegrad.com/careers/education-training-and-library
"Arts, design, entertainment, sports and media",https://www.effortlesshr.com/job-descriptions/arts-design-entertainment-sports-and-media-c2/
Healthcare practioners and technical,https://study.com/articles/How_to_Become_a_Healthcare_Practitioner_Career_Guide.html
Healthcare support,https://www.thebalancecareers.com/health-care-support-careers-525634
Protective service,https://www.criminaljusticedegreeschools.com/criminal-justice-careers/federal-protective-service/
Food preparation and serving,https://study.com/articles/Become_a_Food_Preparation_Worker_Career_Guide.html
Building and grounds cleaning and maintenance,https://collegegrad.com/careers/building-and-grounds-cleaning
Personal care and service,https://thebestschools.org/careers/personal-care-careers/
Sales,https://www.yesware.com/blog/how-to-land-a-sales-job-in-six-simple-steps/
Office and administrative support,https://www.indeed.com/career-advice/what-does-an-office-administrator-do
"Farming, fishing and forestry",https://collegegrad.com/careers/farming-fishing-and-forestry
Construction and extraction,https://collegegrad.com/careers/construction-and-extraction
"Installation, maintenance and repair",https://collegegrad.com/careers/installation-maintenance-and-repair
Production,https://thebestschools.org/careers/production-careers/
Transportation and material moving,https://collegegrad.com/careers/transportation-and-material-moving
